,PM2.5,Land_EQI,Sociod_EQI,Built_EQI,CLU50_1,PM10,SO2,NO2,O3,CO,CN,Disel,CS2,Air_EQI,Water_EQI,EQI,smoking_data,LCI_smoking,UCI_smoking
1326,5.18,-0.0557791,0.1223477,1.155964,13,5.7,13.422236,125.8766663,2407.49,38.3464461,0.02078,0.3212221,0.000546,0.1121676,0.4984623,0.58,25.2,21.5,29.4
2467,13.7,-0.1737045,0.0707545,1.08925,13,17.25,645.6514856,544.058047,10796.6,1122.262857,0.0554818,0.8972709,0.00186,1.696955,1.085106,1.17,30.4,27.8,33.0
331,8.97,-1.513726,-0.0190696,-0.4230816,11,10.76,65.4088904,456.6422049,4594.52,157.4055016,0.0225607,0.467085,0.000494,0.1664146,-1.558768,-0.82,28.9,24.5,33.2
94,11.5,-1.372915,-0.3881292,-2.309274,14,7.79,11.5012272,163.595664,1215.74,52.9705343,0.0043932,0.1469845,8.7e-06,-0.8213124,0.8660349,-1.5,28.7,24.5,33.0
546,10.48,1.058171,0.9772414,0.489386,42,12.24,164.4447115,691.3878737,2724.49,211.4986776,0.0184341,0.7203438,0.000271,0.8162019,1.280199,1.37,22.4,19.1,25.7
9,13.44,-0.1945019,-0.6738133,-0.6189157,10,16.78,34.6790939,221.7158688,838.14,80.696299,0.0144598,0.276152,0.000334,0.1769833,-0.9704146,-0.66,29.2,24.9,33.8
2037,12.66,-0.174236,-0.019631,1.285818,13,15.29,519.4210305,1757.728293,7350.14,1145.697716,0.0298849,0.3209679,0.404,0.7666416,-0.023313,0.67,30.7,26.9,34.8
487,12.52,0.4145942,0.2014846,0.317297,21,9.7,335.1870419,739.6653464,5647.27,624.7978718,0.0160979,0.298143,0.00021,-0.1340356,0.8186097,0.41,26.1,21.9,30.4
2200,10.51,-0.1926491,-0.9908432,-0.5449162,9,7.14,134.8522293,601.1184863,2912.79,445.813051,0.0030719,0.138299,5.25e-05,-0.4624208,0.5965499,-0.68,29.1,25.0,33.8
1602,5.11,0.9273425,0.2635849,1.22882,36,5.37,168.9762073,486.2547538,5691.3,7.8911909,0.0179197,0.2285199,0.000385,-0.0635139,-1.251131,0.55,23.5,20.2,27.0
0,12.06,-0.7065906,0.6704357,-0.4973013,1,15.07,10.6610884,123.6576482,522.38,4.463225,0.0548148,0.388556,0.00808,0.9553846,-1.109728,0.0,26.0,22.3,30.1
1811,11.11,0.4544808,1.130569,0.5256475,44,12.25,291.4249415,1225.369584,6729.25,1276.590439,0.05697,0.4297916,0.00124,1.270803,-1.52145,0.91,25.1,21.6,28.7
